Date,Team,Division,Score,Opponent,Travel_km,Game_Status,Team_Status,Score_Type,Temp,Windspeed,Humidity,Visibility,Precipitation,Cast,Date_day,Total_Score
2019-04-28 13:30:00,Rushmoor Knights,Premiership South,0,41,71,@ Away,L,Score @ Away,48.7,14.7,64.3,23.1,0.01,rain,2019-04-28,41
2019-04-21 14:00:00,Rushmoor Knights,Premiership South,0,85,67,@ Away,L,Score @ Away,59.2,8.3,51.5,12.9,0.0,clear-day,2019-04-21,85
2019-07-28 14:00:00,Northumberland Vikings,NFC 1 North,16,6,0,@ Home,W,Score @ Home,63.4,11.4,97.2,5.1,0.02,rain,2019-07-28,22
2019-07-21 15:00:00,Northumberland Vikings,NFC 1 North,5,0,248,@ Away,W,Score @ Away,60.5,16.2,84.8,10.4,0.09,rain,2019-07-21,5
2019-07-07 16:00:00,Northumberland Vikings,NFC 1 North,22,0,0,@ Home,W,Score @ Home,52.4,11.4,82.0,6.2,0.0,partly-cloudy-day,2019-07-07,22
2019-06-30 12:00:00,Northumberland Vikings,NFC 1 North,42,0,252,@ Away,W,Score @ Away,59.3,21.3,83.1,7.1,0.1,rain,2019-06-30,42
2019-09-06 14:00:00,Northumberland Vikings,NFC 1 North,5,8,0,@ Home,L,Score @ Home,56.2,21.2,84.5,8.9,0.11,rain,2019-09-06,13
2019-05-26 13:45:00,Northumberland Vikings,NFC 1 North,10,6,179,@ Away,W,Score @ Away,64.6,16.7,73.1,26.1,0.0,cloudy,2019-05-26,16
2019-05-19 14:00:00,Northumberland Vikings,NFC 1 North,63,0,0,@ Home,W,Score @ Home,57.4,10.5,69.3,16.6,0.0,partly-cloudy-day,2019-05-19,63
2019-05-05 14:00:00,Northumberland Vikings,NFC 1 North,7,3,391,@ Away,W,Score @ Away,40.2,9.6,88.7,6.3,0.0,partly-cloudy-day,2019-05-05,10
2019-04-21 14:00:00,Northumberland Vikings,NFC 1 North,22,14,0,@ Home,W,Score @ Home,52.7,7.8,85.1,8.2,0.02,rain,2019-04-21,36
2019-04-14 14:00:00,Northumberland Vikings,NFC 1 North,24,0,19,@ Away,W,Score @ Away,38.6,12.8,68.7,10.8,0.0,partly-cloudy-day,2019-04-14,24
2019-07-28 13:45:00,Yorkshire Rams,NFC 1 North,15,12,0,@ Home,W,Score @ Home,60.3,11.9,95.7,5.1,0.71,rain,2019-07-28,27
2019-07-07 16:00:00,Yorkshire Rams,NFC 1 North,0,22,179,@ Away,L,Score @ Away,52.4,11.4,82.0,6.2,0.0,partly-cloudy-day,2019-07-07,22
2019-06-23 15:30:00,Yorkshire Rams,NFC 1 North,23,34,0,@ Home,L,Score @ Home,57.0,12.8,81.6,9.4,0.0,partly-cloudy-day,2019-06-23,57
2019-06-16 14:00:00,Yorkshire Rams,NFC 1 North,53,7,163,@ Away,W,Score @ Away,55.5,27.2,82.2,7.5,0.13,rain,2019-06-16,60
2019-01-06 12:00:00,Yorkshire Rams,NFC 1 North,2,0,580,@ Away,W,Score @ Away,34.7,13.7,71.3,10.0,0.0,partly-cloudy-day,2019-01-06,2
2019-05-26 13:45:00,Yorkshire Rams,NFC 1 North,6,10,0,@ Home,L,Score @ Home,64.6,16.7,73.1,26.1,0.0,cloudy,2019-05-26,16
2019-12-05 15:00:00,Yorkshire Rams,NFC 1 North,12,47,363,@ Away,L,Score @ Away,56.4,23.0,78.8,6.1,0.06,rain,2019-12-05,59
2019-05-05 13:45:00,Yorkshire Rams,NFC 1 North,22,6,0,@ Home,W,Score @ Home,57.4,23.5,83.0,8.3,0.17,rain,2019-05-05,28
2019-04-28 13:00:00,Yorkshire Rams,NFC 1 North,0,13,368,@ Away,L,Score @ Away,52.3,9.2,84.8,5.5,0.02,rain,2019-04-28,13
2019-04-20 16:00:00,Yorkshire Rams,NFC 1 North,0,42,0,@ Home,L,Score @ Home,42.6,30.4,90.7,6.1,0.54,rain,2019-04-20,42
2019-07-21 15:00:00,East Kilbride Pirates,NFC 1 North,0,5,0,@ Home,L,Score @ Home,60.5,16.2,84.8,10.4,0.09,rain,2019-07-21,5
2019-07-07 12:00:00,East Kilbride Pirates,NFC 1 North,53,14,258,@ Away,W,Score @ Away,52.7,10.5,80.9,9.4,0.0,partly-cloudy-day,2019-07-07,67
2019-06-30 16:00:00,East Kilbride Pirates,NFC 1 North,52,6,0,@ Home,W,Score @ Home,59.2,21.1,83.2,7.9,0.09,rain,2019-06-30,58
2019-06-23 15:30:00,East Kilbride Pirates,NFC 1 North,34,23,363,@ Away,W,Score @ Away,57.0,12.8,81.6,9.4,0.0,partly-cloudy-day,2019-06-23,57
2019-06-16 14:30:00,East Kilbride Pirates,NFC 1 North,39,7,0,@ Home,W,Score @ Home,54.7,15.0,74.5,9.8,0.0,partly-cloudy-day,2019-06-16,46
2019-09-06 14:00:00,East Kilbride Pirates,NFC 1 North,8,5,248,@ Away,W,Score @ Away,56.2,21.2,84.5,8.9,0.11,rain,2019-09-06,13
2019-02-06 15:00:00,East Kilbride Pirates,NFC 1 North,49,12,0,@ Home,W,Score @ Home,49.2,10.7,80.4,8.1,0.04,rain,2019-02-06,61
2019-05-19 12:00:00,East Kilbride Pirates,NFC 1 North,47,14,9,@ Away,W,Score @ Away,53.6,11.6,79.2,9.2,0.02,rain,2019-05-19,61
2019-12-05 15:00:00,East Kilbride Pirates,NFC 1 North,47,12,0,@ Home,W,Score @ Home,56.4,23.0,78.8,6.1,0.06,rain,2019-12-05,59
2019-04-14 14:00:00,East Kilbride Pirates,NFC 1 North,23,12,246,@ Away,W,Score @ Away,38.3,21.6,68.0,6.4,0.0,partly-cloudy-day,2019-04-14,35
2019-07-28 13:45:00,Glasgow Tigers,NFC 1 North,12,15,368,@ Away,L,Score @ Away,60.3,11.9,95.7,5.1,0.71,rain,2019-07-28,27
2019-07-21 13:00:00,Glasgow Tigers,NFC 1 North,40,0,0,@ Home,W,Score @ Home,60.5,16.2,84.9,8.9,0.08,rain,2019-07-21,40
2019-07-07 14:00:00,Glasgow Tigers,NFC 1 North,3,28,244,@ Away,L,Score @ Away,50.8,19.0,75.4,6.5,0.04,rain,2019-07-07,31
2019-06-30 12:00:00,Glasgow Tigers,NFC 1 North,0,42,0,@ Home,L,Score @ Home,59.3,21.3,83.1,7.1,0.1,rain,2019-06-30,42
2019-06-16 14:30:00,Glasgow Tigers,NFC 1 North,7,39,9,@ Away,L,Score @ Away,54.7,15.0,74.5,9.8,0.0,partly-cloudy-day,2019-06-16,46
2019-09-06 13:00:00,Glasgow Tigers,NFC 1 North,13,12,0,@ Home,W,Score @ Home,42.5,24.7,83.4,9.4,0.03,rain,2019-09-06,25
